episode,reward,score,steps,epsilon,loss
2440,-9.73,0,38,0.4235,0.003983
2441,-9.7,0,38,0.4227,0.007229
2442,-9.0067,0,44,0.4217,0.004876
2443,-9.72,0,41,0.4209,0.005944
2444,-9.72,0,40,0.42,0.005588
2445,-9.6242,0,47,0.419,0.005489
2446,-8.8183,0,47,0.4181,0.005792
2447,-8.9867,0,37,0.4173,0.00549
2448,-8.93,0,37,0.4165,0.004647
2449,-9.63,0,44,0.4156,0.003949
2450,-9.77,0,38,0.4148,0.008627
2451,-9.76,0,37,0.414,0.003503
2452,-9.66,0,44,0.4131,0.005158
2453,-9.71,0,45,0.4122,0.005637
2454,-8.6167,0,43,0.4113,0.005205
2455,-8.7383,0,45,0.4104,0.005383
2456,-9.74,0,46,0.4095,0.004807
2457,-8.8392,0,43,0.4086,0.004635
2458,-8.7625,0,39,0.4078,0.005158
2459,-9.72,0,39,0.407,0.004446
2460,-9.0,0,44,0.4061,0.004481
2461,-8.9375,0,47,0.4051,0.00312
2462,-9.4133,0,40,0.4043,0.004648
2463,-9.5992,0,47,0.4034,0.004869
2464,-9.74,0,38,0.4026,0.007064
2465,-9.6975,0,47,0.4017,0.005664
2466,-9.73,0,41,0.4008,0.00352
2467,-8.7283,0,45,0.3999,0.004369
2468,-9.5483,0,47,0.399,0.003616
2469,-8.7225,0,44,0.3981,0.003754
2470,-8.7783,0,38,0.3974,0.003967
2471,-9.73,0,47,0.3964,0.00411
2472,-8.3375,0,47,0.3955,0.00426
2473,-8.6233,0,45,0.3946,0.003595
2474,-9.75,0,38,0.3939,0.005289
2475,-9.77,0,37,0.3931,0.004581
2476,-9.72,0,41,0.3923,0.004051
2477,-8.6483,0,47,0.3914,0.003967
2478,-9.66,0,44,0.3906,0.005562
2479,-8.68,0,41,0.3898,0.004932
2480,-8.6167,0,44,0.3889,0.004088
2481,-8.8325,0,44,0.388,0.004107
2482,-8.66,0,47,0.3871,0.004459
2483,-8.8717,0,37,0.3864,0.002936
2484,-8.8492,0,39,0.3857,0.002879
2485,-9.71,0,41,0.3849,0.004798
2486,-9.72,0,47,0.384,0.003858
2487,-8.7217,0,45,0.3831,0.003901
2488,-8.9008,0,36,0.3824,0.002654
2489,-8.3908,0,47,0.3815,0.003623
2490,-8.5058,0,47,0.3806,0.004036
2491,-8.665,0,47,0.3797,0.005133
2492,-9.67,0,44,0.3789,0.003958
2493,-9.69,0,47,0.378,0.003706
2494,-8.8225,0,38,0.3773,0.003233
2495,-9.71,0,47,0.3764,0.004809
2496,-8.8658,0,39,0.3757,0.003745
2497,-9.76,0,38,0.375,0.004318
2498,-9.71,0,44,0.3741,0.004314
2499,-8.84,0,42,0.3734,0.003333
2500,-9.0883,0,42,0.3726,0.006161
2501,-8.9408,0,44,0.3718,0.004078
2502,-8.805,0,42,0.371,0.00413
2503,-9.72,0,47,0.3701,0.003477
2504,-9.4225,0,46,0.3693,0.003617
2505,-8.8983,0,42,0.3685,0.003828
2506,-8.6717,0,40,0.3677,0.00392
2507,-8.62,0,46,0.3669,0.003809
2508,-8.8217,0,41,0.3661,0.004041
2509,-8.4533,0,47,0.3653,0.003441
2510,-9.71,0,40,0.3646,0.003979
2511,-9.69,0,47,0.3637,0.004648
2512,-8.8,0,44,0.3629,0.003038
2513,-9.65,0,47,0.362,0.002548
2514,-9.7908,0,37,0.3614,0.003627
2515,-8.7975,0,40,0.3607,0.003801
2516,-9.3475,0,47,0.3598,0.003178
2517,-8.91,0,41,0.3591,0.003621
2518,-9.75,0,47,0.3582,0.003684
2519,-8.8825,0,38,0.3576,0.002573
2520,-9.66,0,47,0.3567,0.00339
2521,-9.74,0,47,0.3559,0.00374
2522,-8.8683,0,42,0.3551,0.004241
2523,-8.7633,0,47,0.3543,0.00302
2524,-9.68,0,44,0.3535,0.004898
2525,-8.8283,0,41,0.3528,0.003062
2526,-9.71,0,41,0.3521,0.003963
2527,-8.61,0,47,0.3512,0.003832
2528,-9.0233,0,47,0.3504,0.00401
2529,-8.4508,0,47,0.3496,0.004119
2530,-8.8383,0,38,0.3489,0.004504
2531,-9.68,0,45,0.3481,0.003511
2532,-8.9958,0,47,0.3473,0.003309
2533,-8.9025,0,37,0.3467,0.002711
2534,-9.645,0,47,0.3459,0.00296
2535,-9.75,0,47,0.3451,0.003351
2536,-8.8108,0,47,0.3443,0.003499
2537,-8.4783,0,43,0.3435,0.002962
2538,-9.67,0,43,0.3428,0.003205
2539,-9.63,0,47,0.342,0.003939
2540,-9.37,0,47,0.3412,0.003244
2541,-9.1433,0,47,0.3404,0.003116
2542,-8.8758,0,40,0.3397,0.004001
2543,-8.77,0,40,0.339,0.002852
2544,-8.6075,0,45,0.3382,0.003411
2545,-7.9367,0,47,0.3375,0.00309
2546,-8.8767,0,38,0.3368,0.004967
2547,-8.8733,0,47,0.336,0.003672
2548,-9.475,0,47,0.3352,0.00417
2549,-9.69,0,45,0.3345,0.002987
2550,-8.5058,0,47,0.3337,0.004814
2551,-8.9592,0,37,0.3331,0.003853
2552,-9.65,0,47,0.3323,0.005395
2553,-8.8375,0,39,0.3316,0.005842
2554,-8.4417,0,47,0.3309,0.004149
2555,-9.7067,0,47,0.3301,0.003911
2556,-8.5383,0,47,0.3293,0.003256
2557,-9.64,0,46,0.3286,0.003871
2558,-8.7608,0,41,0.3279,0.005318
2559,-8.8258,0,44,0.3272,0.005536
2560,-9.3892,0,47,0.3264,0.002563
2561,-9.71,0,39,0.3258,0.008842
2562,-9.6067,0,47,0.325,0.004067
2563,-8.5917,0,45,0.3243,0.00481
2564,-8.8325,0,47,0.3235,0.002908
2565,-8.6908,0,41,0.3228,0.005081
2566,-8.675,0,40,0.3222,0.006596
2567,-9.68,0,41,0.3215,0.005399
2568,-8.8575,0,47,0.3208,0.003344
2569,-7.7833,0,47,0.32,0.004163
2570,-8.6333,0,44,0.3193,0.002698
2571,-8.82,0,39,0.3187,0.002664
2572,-9.72,0,41,0.3181,0.006325
2573,-8.6817,0,44,0.3174,0.007104
2574,-8.5275,0,47,0.3166,0.004087
2575,-9.3775,0,49,0.3158,0.004195
2576,-9.72,0,42,0.3152,0.005593
2577,-9.4875,0,47,0.3144,0.003954
2578,-8.2458,0,47,0.3137,0.008428
2579,-8.6017,0,47,0.313,0.007216
2580,-7.9658,0,47,0.3122,0.004562
2581,-8.9192,0,36,0.3117,0.005797
2582,-8.8808,0,38,0.3111,0.003158
